ID Nummer,Vorname,Nachname,Schichtverfügbarkeit,Qualifikationen,Überstunden,Schichtpräferenz,Einstellungsdatum,Entlassungsdatum,Gemischtwarenladen
ID43624,Blanche,Cain,Nachmittagsschicht,Reinigungskraft,JA,JA,01/01/2015,25/09/2015,8
ID26717,Lucian,Deleon,Morgenschicht,Reinigungskraft,NEIN,NEIN,16/01/2015,07/02/2015,8
ID86436,Eugene,Stephenson,Morgenschicht,Verkäufer,NEIN,JA,17/01/2015,20/05/2015,7
ID12715,Mariyah,Webb,Nachmittagsschicht,Reinigungskraft,NEIN,JA,19/01/2015,24/07/2015,3
ID57037,Ashton,Carlson,Nachmittagsschicht,Verkäufer,NEIN,JA,22/01/2015,27/11/2015,8
ID17519,Teresa,Mcgowan,Nachmittagsschicht,Verkäufer,JA,JA,25/01/2015,23/09/2015,2
ID59988,Adele,Ruiz,Nachmittagsschicht,Aushilfe,NEIN,NEIN,31/01/2015,09/03/2015,4
ID40102,Keyaan,Brewer,Nachmittagsschicht,Reinigungskraft,NEIN,NEIN,31/01/2015,16/04/2015,7
ID47959,Hector,Henderson,Morgenschicht,Verkäufer,JA,NEIN,02/02/2015,28/03/2015,2
ID34763,Luc,Stanton,Morgenschicht,Verkäufer,NEIN,JA,04/02/2015,12/11/2015,3
ID87968,Orlando,Mathews,Nachmittagsschicht,Verkäufer,NEIN,NEIN,04/02/2015,04/03/2015,4
ID37655,Trey,Harding,Morgenschicht,Verkäufer,JA,JA,08/02/2015,11/01/2016,5
ID54853,Humza,Barron,Nachmittagsschicht,Aushilfe,NEIN,JA,10/02/2015,19/10/2015,3
ID41142,Blanche,Villanueva,Morgenschicht,Reinigungskraft,NEIN,JA,10/02/2015,02/05/2015,8
ID30271,Philippa,Landry,Morgenschicht,Verkäufer,NEIN,JA,13/02/2015,25/08/2015,7
ID20780,Fern,Pruitt,Morgenschicht,Aushilfe,NEIN,JA,18/02/2015,31/07/2015,3
ID86224,Summer,Pollard,Nachmittagsschicht,Verkäufer,JA,JA,20/02/2015,26/07/2016,6
ID59116,Lila,Hammond,Morgenschicht,Aushilfe,NEIN,JA,21/02/2015,08/09/2015,5
ID54022,Georgina,Sullivan,Morgenschicht,Aushilfe,NEIN,NEIN,23/02/2015,21/05/2015,3
ID80426,Jazmin,Castro,Morgenschicht,Verkäufer,NEIN,JA,23/02/2015,16/05/2016,3
ID53011,Mathew,Barr,Morgenschicht,Verkäufer,NEIN,JA,24/02/2015,17/08/2015,7
ID55170,Bartosz,Kirby,Morgenschicht,Verkäufer,JA,JA,25/02/2015,06/06/2016,7
ID86182,Lydia,Morse,Morgenschicht,Reinigungskraft,NEIN,NEIN,26/02/2015,26/03/2015,3
ID36763,Khalid,Howe,Morgenschicht,Verkäufer,NEIN,JA,27/02/2015,12/01/2016,7
ID75458,Lottie,Walls,Morgenschicht,Aushilfe,NEIN,JA,27/02/2015,20/12/2015,1
ID31927,Honor,Clayton,Morgenschicht,Verkäufer,NEIN,NEIN,27/02/2015,01/04/2015,7
